UUID,Name,Parent UUID,Unique BISAC Codes [CSV]
1603,Quantum,1600,"SCI057000,SCI074000,SCI053000,SCI051000,SCI058000,SCI022000,SCI038000,SCI021000,SCI067000,SCI077000"
1604,Biological Physics,1600,"SCI009000,SCI050000,SCI010000,SCI013050,TEC059000,SCI049000"
1605,Astronomy and Astrophysics,1600,"SCI004000,SCI005000,SCI015000,SCI098000,SCI033000,SCI061000,NAT033000"
1606,History and Philosophy,1600,"SCI034000,SCI055000,SCI061000,SCI057000,SCI004000,SCI005000,SCI015000,SCI033000,SCI075000"
1607,Other,1600,"SCI003000,SCI040000,SCI001000,SCI012000,SCI028000"
1701,American Politics,1700,"POL040010,POL040000,POL040030,POL006000,POL040040,POL030000,POL020000"
1702,Public Policy,1700,"POL017000,POL067000,POL002000,POL038000,POL024000,POL044000,POL028000,POL026000,POL063000,POL029000,POL027000,POL019000"
1703,Comparative Politics,1700,"POL009000,POL022000,POL023000,POL053000,POL054000,POL055000,POL057000,POL058000,POL040020,POL059000,POL060000,LAW016000"
1704,International Politics and Foreign Policy,1700,"POL035010,POL061000,POL047000,POL036000,POL048000,POL001000,POL011010,POL011000,POL011020,POL021000,POL041000,POL034000,POL012000,POL037000,LAW051000,LAW014010"
1705,Political Behavior,1700,"POL008000,POL016000,POL065000,POL043000,POL015000"
1706,Law - General,1700,"LAW064000,LAW066000,LAW068000,LAW115000,LAW116000,LAW074000,LAW079000,LAW080000,LAW082000,LAW099000,LAW084000,LAW086000,LAW087000,LAW090000,LAW054000,LAW059000,LAW026000,LAW026020,LAW027000,LAW106000,LAW094000,LAW092000,LAW032000,LAW101000,LAW038000,LAW038030,LAW043000,LAW000000,LAW039000,LAW109000,LAW089000,LAW046000,LAW047000,LAW049000,LAW050010,LAW050000,LAW050020,LAW020000,LAW021000,LAW022000,LAW104000,LAW001000,LAW007000,LAW009000,LAW010000,LAW012000,LAW013000,LAW052000"
1707,U.S. Constitutional Law,1700,LAW018000
1708,Judicial Politics,1700,"LAW111000,LAW024000,LAW025000"
1709,Political Methodology,1700,SOC019000
1710,Political Theory and History of Political Thought,1700,"POL010000,POL042010,POL005000,POL042020,POL007000,POL042030,POL042000,POL042050,POL031000,POL042040,PHI019000"
1801,American,1800,"REL108000,REL108020,REL055000,REL067080,REL003000,REL093000,REL010000,REL046000,REL094000,REL070000,REL015000,REL082000,REL043000,REL097000,REL053000,REL029000,REL033000,REL089000,REL105000,REL084000,SOC039000"
1802,Comparative Religion,1800,"REL017000,REL029000,REL077000,REL028000,REL105000,REL062000,REL084000"
1803,Asian Religion,1800,"REL007000,REL007010,REL007020,REL007030,REL007050,REL092000,REL018000,REL024000,REL028000,REL077000,REL032000,REL032010,REL032030,REL033000,REL038000,REL047000,REL105000,REL060000,REL062000,REL065000,PHI015000,OCC012000"
1804,History of Religion,1800,"REL114000,REL072000,REL006050,REL006030,REL006080,REL006040,REL006160,REL006400,REL006000,REL006630,REL006220,REL006210,REL006740,REL108000,REL108020,REL055000,REL067080,REL003000,REL093000,REL010000,REL046000,REL094000,REL070000,REL015000,REL082000,REL043000,REL049000,REL097000,REL053000,REL110000,REL032010,REL033000,REL040030,REL117000,REL047000,REL105000"
1805,Islamic Studies,1800,"REL028000,REL077000,REL033000,REL037000,REL037010,REL041000,REL037020,REL037030,REL037040,REL090000,REL037060,REL047000,REL105000,REL062000,HIS026010,HIS009000,HIS026000,HIS026020,HIS026030,HIS019000,HIS055000,SOC048000"
1806,Jewish Studies,1800,"REL006050,REL006060,REL006080,REL006090,REL006160,REL006400,REL006000,REL006630,REL006210,REL006740,REL028000,REL077000,REL033000,REL040000,REL040030,REL040060,REL040010,REL040040,REL064000,REL040090,REL047000,REL105000,REL062000,HIS022000,HIS043000,HIS026000,HIS019000,SOC049000"
1807,Religion and Philosophy,1800,"REL004000,PHI028000,PHI025000,REL055000,REL067070,REL067000,REL067080,REL028000,REL029000,REL077000,REL047000,REL117000,REL051000,REL105000,REL062000,PHI023000,PHI003000,PHI008000,PHI015000,PHI022000"
1808,Other,1800,"REL075000,REL054000,REL106000,REL084000,SOC039000"
1901,Cultural,1900,"SOC026000,SOC055000,SOC026000d,NAT011000,POL044000,SOC051000,POL042000,SOC022000"
1902,Methods,1900,"SOC026000,SOC019000"
1903,Economic,1900,"SOC026000,BUS000000,BUS045000,BUS069030,BUS023000"
1904,Global and Comparative,1900,"SOC026000,POL040020,POL031000"
1905,Law & Society,1900,"SOC004000,LAW026020,SOC026000,LAW026000,LAW000000"
1906,Urban,1900,SOC026030
1907,"Organizations, Occupations, and Work",1900,"SOC026000,BUS097000,BUS085000,BUS030000"
